trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
2022/11/2,13.65,13.61,13.66,13.6,13.86,2326900,31721465,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,10100,26800,20400,31052,19800,5200,32800,33600,99400,43500,-0.018037518,1930
2022/11/2,13.65,13.61,13.66,13.6,13.86,2397400,32681077,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,4500,29100,19400,30952,18000,900,47700,41500,101400,43500,-0.018037518,1996
2022/11/2,13.65,13.61,13.66,13.6,13.86,2417400,32953353,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,3500,8900,19400,27952,18000,40500,54400,43700,102600,43500,-0.018037518,2037
2022/11/2,13.65,13.61,13.66,13.6,13.86,2497300,34040622,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,2800,8900,16300,27952,5900,5000,35900,45400,104100,45000,-0.018037518,2111
2022/11/2,13.65,13.61,13.66,13.6,13.86,2551600,34779799,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,500,8900,15200,27952,5900,24700,39700,47600,109100,45000,-0.018037518,2166
2022/11/2,13.65,13.62,13.66,13.6,13.86,2578400,35144657,15.25,12.47,13.63,13.64,13.65,13.66,13.67,13.62,13.61,13.6,13.59,13.58,6900,15200,28752,5900,33900,8600,29400,40500,47200,110100,-0.017316017,2218
2022/11/2,13.65,13.61,13.66,13.6,13.86,2659500,36248718,15.25,12.47,13.61,13.63,13.64,13.65,13.66,13.6,13.59,13.58,13.57,13.56,1900,5900,17400,28752,5900,41400,55300,115100,42500,58300,-0.018037518,2296
2022/11/2,13.65,13.61,13.66,13.6,13.86,2682600,36563153,15.25,12.47,13.61,13.62,13.63,13.64,13.65,13.6,13.59,13.58,13.57,13.56,700,2900,11800,18600,27152,46900,58100,115100,42500,58300,-0.018037518,2338
2022/11/2,13.65,13.61,13.66,13.6,13.86,2724100,37128082,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,35300,14900,18600,28152,6600,17500,50100,58300,115200,42700,-0.018037518,2396
2022/11/2,13.65,13.61,13.66,13.6,13.86,2824600,38495862,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,32000,16500,18600,28152,6600,2800,60800,63200,110200,42700,-0.018037518,2472
2022/11/2,13.65,13.62,13.66,13.6,13.86,2897800,39492704,15.25,12.47,13.63,13.64,13.65,13.66,13.67,13.62,13.61,13.6,13.59,13.58,15500,18600,21352,6600,33900,4000,33300,73500,104300,112500,-0.017316017,2518
2022/11/2,13.65,13.62,13.66,13.6,13.86,2941200,40083534,15.25,12.47,13.63,13.64,13.65,13.66,13.67,13.62,13.61,13.6,13.59,13.58,14200,18600,21352,6600,33900,1600,15600,100500,105900,112500,-0.017316017,2565
2022/11/2,13.65,13.62,13.66,13.6,13.86,2963000,40380494,15.25,12.47,13.63,13.64,13.65,13.66,13.67,13.62,13.61,13.6,13.59,13.58,10800,18600,21352,6600,33900,33100,69900,105000,106400,112800,-0.017316017,2619
2022/11/2,13.65,13.62,13.66,13.6,13.86,3022600,41192261,15.25,12.47,13.63,13.64,13.65,13.66,13.67,13.62,13.61,13.6,13.59,13.58,4900,18600,17352,6600,33900,3100,91000,109700,103900,103600,-0.017316017,2707
